iter	Logloss	Accuracy	Recall	F1
472	0.5994387194	0.7061538462	0.8039215686	0.7361878453
473	0.5993590426	0.7061538462	0.8039215686	0.7361878453
474	0.5992862152	0.7061538462	0.8039215686	0.7361878453
475	0.5992301655	0.7061538462	0.8039215686	0.7361878453
476	0.5991590547	0.7061538462	0.8039215686	0.7361878453
477	0.599109967	0.7053846154	0.8039215686	0.7356797792
478	0.5990197799	0.7053846154	0.8039215686	0.7356797792
479	0.5989007636	0.7061538462	0.8039215686	0.7361878453
480	0.5988261335	0.7061538462	0.8039215686	0.7361878453
481	0.5987430072	0.7061538462	0.8039215686	0.7361878453
482	0.598666408	0.7069230769	0.8039215686	0.7366966137
483	0.5985921543	0.7069230769	0.8039215686	0.7366966137
484	0.5984915177	0.7069230769	0.8039215686	0.7366966137
485	0.5984201098	0.7069230769	0.8039215686	0.7366966137
486	0.5983216488	0.7069230769	0.8039215686	0.7366966137
487	0.5982550007	0.7076923077	0.8039215686	0.7372060858
488	0.5981990473	0.7069230769	0.8039215686	0.7366966137
489	0.5981063237	0.7069230769	0.8039215686	0.7366966137
490	0.5980108974	0.7076923077	0.8039215686	0.7372060858
491	0.5979430748	0.7076923077	0.8039215686	0.7372060858
492	0.5978625713	0.7084615385	0.8039215686	0.737716263
493	0.597762864	0.7076923077	0.8039215686	0.7372060858
494	0.5976885206	0.7084615385	0.8039215686	0.737716263
495	0.5976299293	0.7084615385	0.8039215686	0.737716263
496	0.5975666493	0.7084615385	0.8039215686	0.737716263
497	0.597480943	0.7084615385	0.8039215686	0.737716263
498	0.5974213468	0.7092307692	0.8039215686	0.7382271468
499	0.5973308607	0.7076923077	0.802413273	0.7368421053
