ユーザID,学校種別(使用）,文理（使用）,アルバイト経験有無,アルバイト経験先,アルバイト店番,アルバイト店名,アルバイト社員番号,アルバイト開始年月,アルバイト期間,[SPI3U]言語(得点),[SPI3U]言語(段階),[SPI3U]非言語(得点),[SPI3U]非言語(段階),[SPI3U]基礎能力総合(得点),[SPI3U]基礎能力総合(段階),[SPI3U]Ａ対人接触,[SPI3U]Ｂ対人折衝,[SPI3U]Ｃ集団統率,[SPI3U]Ｄ協調協力,[SPI3U]Ｅサポート,[SPI3U]Ｆフットワーク,[SPI3U]Ｇスピーディー,[SPI3U]Ｈ予定外対応,[SPI3U]Ｉ自律遂行,[SPI3U]Ｊプレッシャー,[SPI3U]Ｋ着実持続,[SPI3U]Ｌ前例ない課題,[SPI3U]Ｍ企画アイデア,[SPI3U]Ｎ問題分析,[SPI3U]ダミー(1),[SPI3U]ダミー(2),[SPI3U]Ｗ創造重視,[SPI3U]Ｘ結果重視,[SPI3U]Ｙ調和重視,[SPI3U]Ｚ秩序重視,[SPI3U]応答態度Ａ,[SPI3U]ダミー,[SPI3Uフル]マネジメントスタイル座標,[SPI3U]内向-外向2,[SPI3U]調整-統率,[SPI3U]繊細-強靭,[SPI3U]維持‐変革,[SPI3U]活動系,[SPI3U]新卒R社員性格基準,final
16047080,,,勤務経験なし,,,,,,,50,4,36,2,42,3,2,3,3,1,3,1,1,2,5,3,5,5,3,2,6,6,2,4,3,5,1,1,Z2,2,4,3,"3,5",1,"2,8",1
16003936,大学,文系,勤務経験なし,,,,,,,80,7,76,7,80,7,3,3,3,2,2,2,3,3,3,3,3,3,4,4,4,3,4,2,2,3,1,1,W4,3,3,3,3,"2,5","2,5",1
16005198,大学,文系,勤務経験なし,,,,,,,57,5,52,4,55,5,3,3,3,3,3,3,3,3,5,3,3,3,3,4,4,6,3,4,2,4,1,1,X4,3,4,3,3,3,"3,5",1
16007773,大学,文系,過去に勤務していました,B社,,店名_242,,40878,6カ月未満,52,4,46,4,49,4,4,4,5,3,3,5,4,4,2,3,1,3,3,2,4,2,4,2,3,1,1,1,W3,4,"3,5","3,5","3,5","4,5",3,1
16009670,大学,文系,現在、勤務しています,A社,440,店名_552,707462,41730,6カ月以上,51,4,55,5,"53,5",4,3,3,3,3,4,3,2,2,3,2,3,1,3,4,3,5,3,3,4,3,1,1,Y2,3,3,"2,5","1,5","2,5","3,3",1
16010584,大学,文系,勤務経験なし,,,,,,,44,3,49,4,46,4,3,4,4,4,4,5,4,5,5,5,4,5,4,3,6,6,4,4,4,4,1,1,Z1,3,"4,5","4,5",5,"4,5",4,1
16012523,大学,文系,勤務経験なし,,,,,,,70,7,66,6,70,7,4,3,3,5,5,3,3,2,3,3,4,2,4,4,4,3,3,3,5,4,1,1,Y4,4,3,3,2,3,"4,3",1
16021382,大学,文系,勤務経験なし,,,,,,,57,5,41,3,49,4,5,5,5,1,1,5,5,5,5,5,2,5,3,3,5,3,5,5,1,1,1,1,W2,5,5,5,5,5,3,1
16022608,大学,文系,勤務経験なし,,,,,,,52,4,47,4,"49,5",4,4,5,5,3,4,3,3,3,5,4,3,4,4,3,6,3,4,3,3,3,1,1,W4,4,5,"4,5","3,5",3,4,1
16022845,大学,文系,現在、勤務しています,A社,114,店名_670,566908,40969,6カ月以上,57,5,63,6,"61,5",5,5,4,4,5,4,3,3,4,3,4,3,3,3,4,3,3,4,3,4,3,1,1,Y2,5,"3,5",4,"3,5",3,"4,3",1
16027687,大学,文系,勤務経験なし,,,,,,,51,4,46,4,"48,5",4,5,5,5,2,2,5,4,5,4,5,2,5,3,3,4,5,5,4,2,2,1,1,W2,5,"4,5",5,5,"4,5","3,3",1
16031480,,,勤務経験なし,,,,,,,59,5,74,7,"68,5",6,3,4,4,1,2,3,3,3,4,4,2,5,5,4,6,3,4,3,1,1,1,1,W2,3,4,4,4,3,"2,5",1
16031666,大学,文系,勤務経験なし,,,,,,,62,6,67,6,"66,5",6,4,5,5,3,3,5,5,5,3,4,1,3,4,4,3,2,4,3,3,1,1,1,W1,4,4,"4,5",4,5,"3,3",1
16032399,大学,文系,勤務経験なし,,,,,,,56,5,64,6,"61,5",5,4,4,4,5,5,5,5,5,3,4,2,4,5,4,5,4,4,3,5,3,1,1,Y1,4,"3,5",4,"4,5",5,"4,3",1
16033965,大学,文系,勤務経験なし,,,,,,,65,6,49,4,58,5,3,3,4,2,2,2,3,3,3,4,3,3,4,4,4,3,3,4,2,3,1,1,X3,3,"3,5","3,5",3,"2,5","2,5",1
16034256,大学,文系,現在、勤務しています,A社,21,店名_019,745269,41913,6カ月以上,47,4,61,5,"54,5",5,3,4,4,2,2,5,5,5,4,4,3,5,4,3,5,2,4,3,2,2,1,1,W2,3,4,4,5,5,"2,8",1
16046365,大学,文系,勤務経験なし,,,,,,,54,5,61,5,"58,5",5,5,5,5,4,4,4,3,5,3,5,3,5,5,5,6,5,5,5,5,3,2,1,W4,5,4,5,5,"3,5",4,1
16008517,大学,文系,勤務経験なし,,,,,,,51,4,40,3,45,3,5,5,4,4,4,4,3,4,3,4,3,5,4,3,6,5,4,3,5,3,1,1,Y1,5,"3,5","4,5","4,5","3,5",4,1
16049224,大学,文系,勤務経験なし,,,,,,,49,4,42,3,45,3,4,4,4,3,4,3,3,3,3,4,3,3,3,2,4,2,4,3,3,3,1,1,W4,4,"3,5",4,3,3,"3,5",1
16040411,大学,文系,勤務経験なし,,,,,,,35,2,31,2,31,2,5,5,5,3,3,4,5,5,5,5,3,4,2,1,6,3,5,4,3,3,1,1,W2,5,5,5,"4,5","4,5",4,1
16048279,大学,文系,勤務経験なし,,,,,,,49,4,34,2,"40,5",3,5,5,5,5,4,5,4,5,4,5,3,5,3,2,6,3,5,3,5,3,2,1,W3,5,"4,5",5,5,"4,5","4,5",1
16046203,大学,文系,勤務経験なし,,,,,,,73,7,57,5,67,6,3,5,5,2,2,5,4,5,5,5,4,5,5,5,6,6,4,5,2,4,1,1,X2,3,5,5,5,"4,5",3,1
16045850,,,勤務経験なし,,,,,,,33,2,43,3,"36,5",2,3,3,3,4,4,1,1,1,3,3,4,3,3,2,6,6,3,4,5,5,1,1,Z3,3,3,3,2,1,"3,5",1
16029878,大学,理系,勤務経験なし,,,,,,,46,4,40,3,42,3,2,2,2,3,4,3,3,3,3,2,2,3,1,1,2,2,3,1,4,2,1,1,Y1,2,"2,5",2,3,3,3,1
16014824,大学,文系,勤務経験なし,,,,,,,50,4,51,4,"50,5",4,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,X3,3,3,3,3,3,"2,8",1
16049112,大学,文系,勤務経験なし,,,,,,,60,5,44,3,"52,5",4,3,3,3,3,3,3,4,4,4,4,2,3,4,4,5,5,4,3,3,2,1,1,W4,3,"3,5","3,5","3,5","3,5","3,3",1
16048785,大学,文系,勤務経験なし,,,,,,,59,5,61,5,"61,5",5,3,4,4,3,3,3,5,4,4,4,1,5,5,3,5,2,3,2,3,1,1,1,W3,3,4,4,"4,5",4,"3,3",1
16045338,大学,文系,勤務経験なし,,,,,,,51,4,45,3,48,4,3,5,5,3,2,5,5,5,4,5,4,5,4,3,6,3,4,3,3,4,1,1,W4,3,"4,5",5,5,5,3,1
16023022,大学,文系,勤務経験なし,,,,,,,58,5,61,5,"60,5",5,2,2,3,3,3,1,1,1,3,1,3,3,4,5,4,5,1,3,4,4,1,1,Z3,2,3,"1,5",2,1,"2,8",1
16011711,大学,文系,勤務経験なし,,,,,,,63,6,49,4,57,5,5,4,4,4,3,5,4,4,3,4,3,3,4,4,5,5,4,4,3,3,1,1,W4,5,"3,5",4,"3,5","4,5","3,8",1
16047215,,,勤務経験なし,,,,,,,51,4,40,3,45,3,1,1,3,2,2,2,2,3,3,3,5,3,2,2,2,2,1,2,3,5,1,1,Z4,1,3,2,3,2,2,1
16047075,大学,文系,勤務経験なし,,,,,,,44,3,48,4,"45,5",3,5,5,5,3,3,5,4,5,4,5,3,5,4,3,6,4,5,3,4,3,1,1,W3,5,"4,5",5,5,"4,5","3,8",1
16046613,大学,文系,勤務経験なし,,,,,,,49,4,52,4,"50,5",4,2,2,2,4,5,1,2,2,3,3,3,3,3,3,3,3,3,2,5,3,1,1,Y3,2,"2,5","2,5","2,5","1,5","3,5",1
16046359,大学,文系,勤務経験なし,,,,,,,53,4,67,6,"61,5",5,4,3,3,5,5,3,2,3,3,3,3,3,4,5,4,5,3,4,5,4,1,1,Y2,4,3,3,3,"2,5","4,3",1
16046125,,,勤務経験なし,,,,,,,33,2,44,3,37,2,3,4,5,3,3,3,3,5,3,5,3,4,2,2,3,3,4,3,3,2,1,1,W4,3,4,"4,5","4,5",3,3,1
16044220,大学,文系,勤務経験なし,,,,,,,52,4,45,3,"48,5",4,4,5,5,3,3,3,4,3,4,4,3,4,3,3,5,4,4,5,3,3,1,1,X1,4,"4,5","4,5","3,5","3,5","3,5",1
16043029,大学,文系,勤務経験なし,B社,,,,,,48,4,58,5,"53,5",4,5,5,5,4,3,3,3,3,4,5,4,5,5,4,6,5,4,5,3,4,1,1,X3,5,"4,5",5,4,3,4,1
16042976,,,勤務経験なし,,,,,,,52,4,56,5,"54,5",5,5,5,5,5,4,5,4,5,5,5,4,5,5,3,6,3,5,4,4,5,2,1,W4,5,5,5,5,"4,5","4,8",1
16042774,大学,文系,勤務経験なし,,,,,,,42,3,56,5,49,4,3,3,4,4,5,3,3,3,4,3,3,3,3,3,4,5,3,4,3,3,1,1,X3,3,4,3,3,3,4,1
16042767,大学,文系,勤務経験なし,,,,,,,59,5,50,4,55,5,5,5,4,3,4,5,5,5,3,4,1,3,3,3,3,2,4,2,4,1,1,1,W3,5,"3,5","4,5",4,5,"3,8",1
16042361,,,勤務経験なし,,,,,,,67,6,53,4,"61,5",5,3,4,5,3,3,4,4,4,5,4,3,5,5,5,6,6,4,5,2,3,1,1,X1,3,5,4,"4,5",4,"3,5",1
16039205,大学,文系,勤務経験なし,,,,,,,65,6,46,4,56,5,2,2,2,3,3,3,3,2,3,3,4,3,3,3,2,3,2,1,3,3,1,1,Y4,2,"2,5","2,5","2,5",3,"2,8",1
16038000,大学,文系,勤務経験なし,,,,,,,58,5,62,6,"61,5",5,4,3,4,2,3,4,4,4,4,3,2,3,5,4,5,4,4,3,3,2,1,1,W4,4,4,3,"3,5",4,"3,3",1
16037236,大学,文系,勤務経験なし,,,,,,,60,5,44,3,"52,5",4,4,5,5,1,1,5,5,5,5,5,1,5,3,3,4,4,4,4,1,1,1,1,W2,4,5,5,5,5,"2,8",1
16034993,大学,文系,勤務経験なし,,,,,,,47,4,55,5,51,4,5,5,4,2,3,5,4,5,5,5,2,5,4,3,5,3,4,4,2,2,1,1,W2,5,"4,5",5,5,"4,5","3,8",1
16024532,,,勤務経験なし,,,,,,,60,5,41,3,"50,5",4,3,4,4,3,4,3,3,3,4,3,3,4,5,3,6,3,4,3,4,3,1,1,W4,3,4,"3,5","3,5",3,"3,5",1
16020418,大学,文系,勤務経験なし,,,,,,,54,5,51,4,53,4,5,5,5,4,3,5,4,5,5,5,3,5,5,4,6,6,5,5,3,4,2,1,X1,5,5,5,5,"4,5","4,3",1
16014685,大学,文系,勤務経験なし,,,,,,,58,5,57,5,"58,5",5,3,3,3,2,2,3,3,3,5,4,4,3,5,4,5,4,4,3,2,4,1,1,X3,3,4,"3,5",3,3,3,1
16011679,大学,文系,勤務経験なし,,,,,,,42,3,63,6,53,4,3,4,4,4,5,2,3,3,3,4,2,3,3,3,2,2,3,2,4,2,1,1,Y1,3,"3,5",4,3,"2,5","3,8",1
16011606,大学,文系,勤務経験なし,,,,,,,60,5,67,6,65,6,3,4,3,2,2,4,3,4,3,3,2,3,4,4,3,2,3,3,3,2,1,1,W4,3,3,"3,5","3,5","3,5","2,5",1
16011600,大学,文系,勤務経験なし,,,,,,,44,3,54,5,49,4,4,4,4,3,3,3,3,4,4,3,3,3,3,3,4,5,4,3,3,3,1,1,W4,4,4,"3,5","3,5",3,"3,5",1
16007781,大学,文系,勤務経験なし,,,,,,,65,6,62,6,65,6,5,4,3,1,2,5,5,5,5,5,3,5,5,5,6,6,5,4,2,3,1,1,W2,5,4,"4,5",5,5,"3,3",1
16007069,大学,文系,勤務経験なし,,,,,,,52,4,47,4,"49,5",4,4,5,5,3,3,5,4,4,4,4,4,5,3,3,5,3,4,4,3,3,1,1,W4,4,"4,5","4,5","4,5","4,5","3,5",1
16003229,大学,文系,勤務経験なし,,,,,,,66,6,53,4,60,5,3,3,3,3,4,3,4,3,4,3,3,3,4,4,4,4,2,3,3,3,1,1,Z1,3,"3,5",3,3,"3,5",0,1
16002056,大学,文系,勤務経験なし,B社,,,,,6カ月以上,36,2,59,5,47,4,5,5,5,4,3,4,3,4,5,4,3,4,4,3,6,3,4,3,4,3,1,1,W4,5,5,"4,5",4,"3,5","4,3",1
16000398,,,勤務経験なし,,,,,,,60,5,70,7,67,6,3,3,3,4,3,3,3,4,3,4,3,3,4,4,3,3,2,2,5,3,1,1,Y4,3,3,"3,5","3,5",3,"3,3",1
16007464,大学,文系,勤務経験なし,,,,,,,49,4,60,5,55,5,5,5,5,1,2,5,5,5,5,5,2,5,4,3,5,1,5,3,1,1,1,1,W2,5,5,5,5,5,"3,3",1
16039991,,,勤務経験なし,,,,,,,56,5,62,6,60,5,5,5,5,5,4,5,4,4,3,5,3,3,5,5,6,6,4,5,5,4,2,1,X3,5,4,5,"3,5","4,5","4,3",1
16037094,,,勤務経験なし,,,,,,,44,3,53,4,"48,5",4,4,4,4,4,4,5,5,4,5,3,3,5,4,3,6,5,4,5,4,3,1,1,X3,4,"4,5","3,5","4,5",5,"4,3",1
16041492,大学,文系,勤務経験なし,,,,,,,72,7,60,5,68,6,5,5,5,4,3,5,3,4,4,5,2,5,5,4,6,3,4,3,3,2,1,1,W4,5,"4,5",5,"4,5",4,4,1
16037542,大学,文系,勤務経験なし,,,,,,,54,5,48,4,51,4,4,4,5,2,3,3,3,2,5,3,3,3,4,4,5,5,4,4,2,3,1,1,X1,4,5,"3,5","2,5",3,"3,5",1
16001696,,,現在、勤務しています,A社,66,店名_018,603291,41183,6カ月以上,56,5,49,4,53,4,5,5,5,3,3,5,5,5,3,5,2,5,4,3,5,1,5,3,3,1,1,1,W1,5,4,5,5,5,"3,5",1
16001918,,,勤務経験なし,,,,,,,61,5,49,4,"55,5",5,4,3,3,3,3,4,3,3,2,3,2,3,3,3,3,3,4,2,3,3,1,1,W4,4,"2,5",3,3,"3,5",3,1
16047262,大学,文系,勤務経験なし,,,,,,,55,5,60,5,"58,5",5,5,4,4,2,2,5,4,5,4,4,2,5,5,4,5,3,4,4,2,2,1,1,W2,5,4,4,5,"4,5","3,3",1
16033975,,,勤務経験なし,,,,,,,65,6,51,4,59,5,1,2,2,5,5,1,1,1,2,2,4,2,4,4,4,3,1,2,5,4,1,1,Y4,1,2,2,"1,5",1,"3,3",1
16032300,大学,文系,勤務経験なし,,,,,,,53,4,41,3,"46,5",4,4,5,4,3,3,4,4,5,4,5,3,4,3,3,5,3,5,2,3,3,1,1,W3,4,4,5,"4,5",4,"3,5",1
16001429,大学,文系,勤務経験なし,,,,,,,56,5,44,3,50,4,3,4,4,4,4,3,2,3,3,3,5,3,3,3,3,3,2,2,4,4,1,1,Z3,3,"3,5","3,5",3,"2,5","3,5",1
16031568,大学,文系,勤務経験なし,,,,,,,46,4,58,5,"52,5",4,5,5,5,5,5,5,5,5,3,5,3,4,4,3,5,3,5,3,5,3,1,1,Y1,5,4,5,"4,5",5,"4,5",1
16030033,大学,文系,勤務経験なし,,,,,,,49,4,40,3,44,3,3,4,5,3,2,3,4,5,4,5,2,5,3,3,5,3,4,3,2,2,1,1,W2,3,"4,5","4,5",5,"3,5",3,1
16009593,大学,文系,勤務経験なし,,,,,,,62,6,77,7,72,7,4,4,4,2,1,4,4,5,5,5,5,5,5,4,5,2,4,3,2,3,1,1,W4,4,"4,5","4,5",5,4,3,1
16043364,大学院（修士）,文系,勤務経験なし,,,,,,,68,6,59,5,65,6,4,5,5,1,2,5,5,5,5,5,1,5,5,5,6,6,5,5,1,1,1,1,X1,4,5,5,5,5,3,1
16008951,大学,文系,勤務経験なし,,,,,,,53,4,39,3,"45,5",3,3,3,4,3,3,5,4,5,3,4,1,3,3,2,4,2,3,2,3,1,1,1,W3,3,"3,5","3,5",4,"4,5",3,1
16007748,大学,文系,勤務経験なし,,,,,,,70,7,64,6,69,6,4,4,4,3,2,4,4,4,5,3,2,5,5,5,5,5,4,4,2,2,1,1,W2,4,"4,5","3,5","4,5",4,"3,5",1
16046199,大学,文系,勤務経験なし,,,,,,,62,6,48,4,"55,5",5,5,5,5,4,4,5,5,5,4,5,3,3,3,3,4,3,5,3,5,3,1,1,Y1,5,"4,5",5,4,5,"4,3",1
16001414,大学,文系,勤務経験なし,,,,,,,52,4,58,5,"55,5",5,4,5,4,3,3,4,5,5,3,4,2,4,3,3,4,2,4,3,2,1,1,1,W2,4,"3,5","4,5","4,5","4,5","3,3",1
16036706,大学,文系,勤務経験なし,,,,,,,46,4,56,5,51,4,4,5,5,2,3,3,4,4,5,4,3,5,5,4,6,6,4,5,2,4,1,1,X2,4,5,"4,5","4,5","3,5","3,5",1
16009424,大学,文系,勤務経験なし,,,,,,,52,4,58,5,55,5,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,3,2,1,1,Y1,4,3,"3,5",3,3,0,1
16031804,大学,理系,勤務経験なし,,,,,,,57,5,51,4,"54,5",5,3,4,3,2,2,3,3,3,5,5,5,5,5,3,6,3,3,3,2,4,1,1,Z1,3,4,"4,5",4,3,3,1
16005153,大学,文系,勤務経験なし,,,,,,,56,5,45,3,"50,5",4,3,3,5,2,2,3,3,3,3,3,3,3,3,3,4,4,4,4,2,3,1,1,X1,3,4,3,3,3,"2,5",1
16006906,,,勤務経験なし,,,,,,,71,7,59,5,67,6,5,4,4,3,2,5,5,4,3,4,3,3,4,4,4,2,4,3,2,3,1,1,W4,5,"3,5",4,"3,5",5,"3,3",1
16038992,大学,文系,勤務経験なし,,,,,,,43,3,49,4,"45,5",3,5,5,5,3,3,5,5,5,4,5,2,5,3,3,5,4,4,5,2,2,1,1,X1,5,"4,5",5,5,5,"3,8",1
16027462,大学,文系,勤務経験なし,,,,,,,58,5,53,4,56,5,4,5,5,2,3,3,3,3,4,4,3,4,3,3,4,4,4,3,3,2,1,1,W4,4,"4,5","4,5","3,5",3,"3,3",1
16021495,大学,文系,勤務経験なし,,,,,,,65,6,54,5,"60,5",5,5,4,4,3,3,4,4,4,3,3,1,3,3,3,3,2,4,3,3,2,1,1,W4,5,"3,5","3,5","3,5",4,"3,5",1
16038170,大学,理系,勤務経験なし,,,,,,,57,5,56,5,"57,5",5,3,3,3,5,5,3,3,3,3,3,5,3,5,4,5,4,3,3,5,4,1,1,Y4,3,3,3,3,3,4,1
16011839,,,勤務経験なし,,,,,,,50,4,59,5,55,5,2,3,3,1,3,3,3,3,5,3,4,5,5,3,6,4,3,4,2,3,1,1,X3,2,4,3,4,3,"2,8",1
16022562,,,勤務経験なし,,,,,,,48,4,53,4,"50,5",4,3,4,5,1,3,4,4,4,5,5,3,5,5,4,6,6,4,5,2,3,1,1,X1,3,5,"4,5","4,5",4,3,1
16002903,大学,文系,勤務経験なし,,,,,,,61,5,56,5,"59,5",5,4,5,5,2,3,5,5,4,5,5,3,4,5,5,5,5,4,5,2,3,1,1,X1,4,5,5,4,5,"3,5",1
16042095,大学,理系,勤務経験なし,,,,,,,48,4,55,5,"51,5",4,5,5,5,4,3,5,4,5,3,4,3,5,4,3,5,3,4,3,2,3,1,1,W4,5,4,"4,5",5,"4,5","3,8",1
16023919,大学,理系,勤務経験なし,,,,,,,61,5,60,5,62,6,4,4,3,5,5,4,5,5,2,3,1,3,4,4,4,4,4,3,5,1,1,1,Y1,4,"2,5","3,5",4,"4,5",4,1
16010104,,,現在、勤務しています,A社,189,店名_181,850313,42278,6カ月未満,55,5,41,3,48,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,4,3,4,3,4,3,1,1,W4,4,3,"3,5",3,3,"3,8",1
16002960,大学,文系,勤務経験なし,,,,,,,59,5,54,5,"57,5",5,4,5,4,2,2,3,4,4,5,5,3,5,5,5,6,5,4,5,2,4,1,1,X2,4,"4,5",5,"4,5","3,5","3,3",1
16026406,大学,文系,現在、勤務しています,B社,1406,店名_260,645473,41426,6カ月以上,32,2,38,3,33,2,3,3,4,3,3,5,4,3,3,4,3,4,1,1,5,4,4,4,3,3,1,1,W4,3,"3,5","3,5","3,5","4,5",3,1
16046581,大学,文系,現在、勤務しています,A社,658,店名_194,833920,42217,6カ月未満,43,3,45,3,"43,5",3,5,5,5,1,1,5,5,5,5,5,2,5,4,3,6,3,5,3,1,1,1,1,W2,5,5,5,5,5,3,1
16020456,,,現在、勤務しています,A社,599,店名_001,802417,42064,6カ月未満,59,5,42,3,"50,5",4,5,4,4,3,2,5,5,5,4,4,1,4,3,3,3,4,4,3,2,1,1,1,W2,5,4,4,"4,5",5,"3,5",1
16013300,大学,文系,現在、勤務しています,A社,625,店名_149,794998,42064,6カ月未満,45,3,39,3,41,3,3,4,5,3,3,5,5,5,3,4,1,5,3,2,6,3,4,4,4,1,1,1,W1,3,4,4,5,5,3,1
16034477,大学院（修士）,文系,現在、勤務しています,B社,1408,店名_081,779712,41974,6カ月以上,54,5,67,6,62,6,3,4,4,3,3,3,4,3,4,4,4,3,4,4,4,3,3,3,4,3,1,1,Y2,3,4,4,3,"3,5","3,3",1
16009771,大学,文系,現在、勤務しています,A社,156,店名_113,756801,41913,6カ月未満,45,3,38,3,"40,5",3,5,5,5,4,3,5,5,5,5,5,3,5,3,2,6,5,5,5,3,2,1,1,W2,5,5,5,5,5,"4,3",1
16031713,大学,文系,現在、勤務しています,A社,553,店名_617,744310,41852,6カ月以上,56,,62,,60,5,,,,,,,,,,,,,,,,,,,,,,,,5,"4,5",5,"4,5","3,5",,1
16018127,大学,文系,現在、勤務しています,A社,564,店名_112,729742,41791,6カ月以上,47,4,47,4,"46,5",4,4,5,5,5,4,4,4,5,4,4,3,5,4,3,6,5,4,4,4,3,1,1,W4,4,"4,5","4,5",5,4,"4,3",1
16018493,大学,文系,現在、勤務しています,A社,564,店名_112,729732,42156,6カ月以上,63,6,69,6,68,6,3,3,4,2,2,3,3,3,4,4,2,4,4,5,4,4,3,4,2,2,1,1,X1,3,4,"3,5","3,5",3,"2,8",1
16020049,大学,文系,現在、勤務しています,A社,564,店名_112,725705,41760,6カ月以上,53,4,31,2,41,3,4,5,5,5,5,3,3,3,3,4,3,3,2,2,5,3,4,3,4,3,1,1,W4,4,4,"4,5",3,3,"4,3",1
16012430,大学,文系,現在、勤務しています,A社,450,店名_083,724002,41760,6カ月以上,54,5,56,5,"55,5",5,4,5,5,4,4,3,2,3,5,4,4,5,5,4,6,5,4,3,5,4,1,1,Y2,4,5,"4,5",4,"2,5","4,3",1
16037899,大学,理系,現在、勤務しています,A社,481,店名_199,715477,41730,6カ月以上,51,4,51,4,51,4,5,5,5,3,2,5,5,5,3,5,1,3,3,3,4,1,4,3,2,1,1,1,W2,5,4,5,4,5,"3,3",1
16037606,大学,文系,現在、勤務しています,A社,60,店名_017,714090,41730,6カ月以上,55,5,53,4,"54,5",5,3,3,4,3,3,2,2,2,3,4,3,2,3,3,3,3,3,3,3,3,1,1,Z1,3,"3,5","3,5",2,2,3,1
16005984,大学,文系,現在、勤務しています,A社,433,店名_217,705884,41699,6カ月以上,48,4,55,5,"51,5",4,5,4,4,4,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,1,1,W4,5,"3,5",4,3,3,"3,8",1
16029333,大学,文系,現在、勤務しています,A社,129,店名_211,698520,41640,6カ月以上,57,5,54,5,56,5,5,5,5,4,3,5,4,5,3,4,3,5,5,4,6,6,4,5,4,4,1,1,X3,5,4,"4,5",5,"4,5","3,8",1
16006009,大学,文系,現在、勤務しています,A社,433,店名_217,673312,41548,6カ月以上,48,4,49,4,"48,5",4,3,4,5,1,2,5,5,5,5,5,3,5,3,3,5,4,5,5,1,2,1,1,X1,3,5,"4,5",5,5,"2,8",1
16002904,大学,文系,現在、勤務しています,A社,182,店名_016,672810,41518,6カ月以上,41,3,52,4,46,4,5,5,5,3,3,5,5,5,4,4,2,5,4,3,6,3,5,3,4,2,1,1,W3,5,"4,5","4,5",5,5,"3,8",1
16013469,大学,文系,現在、勤務しています,A社,157,店名_214,672526,41548,6カ月以上,49,4,42,3,45,3,3,2,2,4,5,3,3,3,1,1,1,1,2,2,1,2,2,1,5,1,1,1,Y3,3,"1,5","1,5",2,3,"3,3",1
16015474,大学,文系,現在、勤務しています,A社,42,店名_297,644151,41426,6カ月以上,55,5,49,4,"52,5",4,5,5,5,1,2,5,5,5,4,5,2,5,4,3,5,4,5,5,1,2,1,1,X1,5,"4,5",5,5,5,3,1
16030015,,,現在、勤務しています,B社,1497,店名_687,627178,41306,6カ月以上,57,5,52,4,55,5,4,3,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,1,W4,4,"3,5",3,3,"3,5","2,8",1
16006612,大学,文系,現在、勤務しています,A社,172,店名_052,624436,41334,6カ月以上,59,5,37,2,48,4,3,3,3,2,2,2,4,3,5,4,3,3,3,3,5,5,4,4,2,3,1,1,X1,3,4,"3,5",3,3,3,1
16001643,大学,文系,現在、勤務しています,A社,461,店名_416,621381,41306,6カ月以上,46,4,52,4,"48,5",4,4,5,5,3,3,4,5,5,3,4,1,4,3,2,5,1,5,3,2,1,1,1,W1,4,4,"4,5","4,5","4,5",0,1
16038999,,,現在、勤務しています,A社,62,店名_233,611141,41579,6カ月以上,67,6,77,7,"74,5",7,4,5,5,2,2,4,4,5,5,4,2,4,5,4,5,3,4,3,2,2,1,1,W2,4,5,"4,5","4,5",4,"3,3",1
16001048,大学,文系,現在、勤務しています,B社,1082,店名_726,596245,41183,6カ月以上,53,4,40,3,46,4,3,4,3,3,3,5,4,4,4,4,3,4,3,3,5,3,4,3,3,2,1,1,W4,3,"3,5",4,4,"4,5","3,3",1
16006733,大学,文系,現在、勤務しています,A社,592,店名_232,592670,41153,6カ月以上,39,3,62,6,"50,5",4,1,2,3,4,4,2,2,2,3,3,5,3,3,3,4,2,1,3,5,5,1,1,Z3,1,3,"2,5","2,5",2,3,1
16014906,大学,文系,現在、勤務しています,A社,119,店名_609,584989,41091,6カ月以上,44,3,47,4,45,3,5,5,5,4,4,5,4,5,4,5,4,5,4,3,6,4,5,3,4,4,2,1,W4,5,"4,5",5,5,"4,5","4,3",1
16000102,大学,文系,現在、勤務しています,A社,529,店名_642,578435,41061,6カ月以上,50,4,62,6,57,5,1,2,4,1,3,2,4,2,5,3,5,4,4,4,5,5,2,4,2,5,1,1,Z2,1,"4,5","2,5",3,3,"2,5",1
16005369,大学,理系,現在、勤務しています,A社,177,店名_690,573655,41000,6カ月以上,48,4,71,7,"60,5",5,3,4,4,2,2,3,4,3,5,4,3,3,5,5,5,5,4,4,2,3,1,1,X1,3,"4,5",4,3,"3,5",3,1
16011241,大学,文系,現在、勤務しています,A社,149,店名_641,571076,41000,6カ月以上,60,5,51,4,56,5,4,5,4,2,2,5,5,5,5,5,1,4,3,3,4,2,5,2,2,1,1,1,W1,4,"4,5",5,"4,5",5,"3,3",1
16010839,大学,文系,現在、勤務しています,B社,741,店名_720,549685,40848,6カ月以上,45,3,45,3,"44,5",3,3,4,5,3,4,4,5,5,5,5,3,5,4,3,6,5,4,5,3,3,1,1,X1,3,5,"4,5",5,"4,5","3,8",1
