ユーザID,学校種別(使用）,文理（使用）,アルバイト経験有無,アルバイト経験先,アルバイト店番,アルバイト店名,アルバイト社員番号,アルバイト開始年月,アルバイト期間,[SPI3U]言語(得点),[SPI3U]言語(段階),[SPI3U]非言語(得点),[SPI3U]非言語(段階),[SPI3U]基礎能力総合(得点),[SPI3U]基礎能力総合(段階),[SPI3U]Ａ対人接触,[SPI3U]Ｂ対人折衝,[SPI3U]Ｃ集団統率,[SPI3U]Ｄ協調協力,[SPI3U]Ｅサポート,[SPI3U]Ｆフットワーク,[SPI3U]Ｇスピーディー,[SPI3U]Ｈ予定外対応,[SPI3U]Ｉ自律遂行,[SPI3U]Ｊプレッシャー,[SPI3U]Ｋ着実持続,[SPI3U]Ｌ前例ない課題,[SPI3U]Ｍ企画アイデア,[SPI3U]Ｎ問題分析,[SPI3U]ダミー(1),[SPI3U]ダミー(2),[SPI3U]Ｗ創造重視,[SPI3U]Ｘ結果重視,[SPI3U]Ｙ調和重視,[SPI3U]Ｚ秩序重視,[SPI3U]応答態度Ａ,[SPI3U]ダミー,[SPI3Uフル]マネジメントスタイル座標,[SPI3U]内向-外向2,[SPI3U]調整-統率,[SPI3U]繊細-強靭,[SPI3U]維持‐変革,[SPI3U]活動系,[SPI3U]新卒R社員性格基準,final
16030312,大学,文系,勤務経験なし,,,,,,,34,2,34,2,32,2,5,5,4,5,5,4,4,5,2,4,3,3,1,1,2,2,4,2,5,3,1,1,Y1,5,3,"4,5",4,4,"4,3",0
16030333,大学,文系,勤務経験なし,,,,,,,52,4,48,4,50,4,5,4,4,4,4,4,3,4,4,4,3,3,4,3,5,3,5,3,3,3,1,1,W4,5,4,4,"3,5","3,5","4,3",0
16030335,,,勤務経験なし,,,,,,,66,6,41,3,"53,5",4,2,2,2,2,2,2,3,2,3,2,3,3,4,4,5,6,2,4,3,3,1,1,X3,2,"2,5",2,"2,5","2,5",0,0
16030337,大学,文系,勤務経験なし,,,,,,,47,4,43,3,"44,5",3,4,3,2,4,3,3,3,3,2,2,3,2,2,2,2,2,3,1,3,3,1,1,Y2,4,2,"2,5","2,5",3,"3,3",0
16030339,専門学校,文系,勤務経験なし,,,,,,,48,4,49,4,"48,5",4,3,4,5,2,2,3,2,3,5,5,5,4,4,3,6,5,3,5,2,5,1,1,X4,3,5,"4,5","3,5","2,5",3,0
16030358,短大,文系,勤務経験なし,,,,,,,42,3,37,2,"38,5",3,5,5,5,2,2,5,5,5,4,5,3,5,3,2,6,3,5,3,3,2,1,1,W1,5,"4,5",5,5,5,"3,3",1
16030363,大学,文系,勤務経験なし,,,,,,,51,4,52,4,"51,5",4,3,2,3,5,5,1,2,2,3,3,5,2,3,3,4,4,2,3,5,5,1,1,Z3,3,3,"2,5",2,"1,5",4,1
16030369,大学,文系,勤務経験なし,,,,,,,26,1,50,4,"36,5",2,3,4,5,4,4,3,3,4,4,5,5,5,3,2,6,5,3,5,5,5,1,1,Z1,3,"4,5","4,5","4,5",3,"3,8",0
16030370,,,勤務経験なし,,,,,,,38,3,45,3,"40,5",3,4,3,3,5,5,3,3,3,3,3,3,3,2,2,5,5,4,4,5,4,1,1,Y2,4,3,3,3,3,"4,3",0
16030374,,,勤務経験なし,,,,,,,47,4,51,4,49,4,2,2,3,3,4,1,2,2,4,3,4,3,3,3,4,5,2,2,4,4,1,1,Z3,2,"3,5","2,5","2,5","1,5","3,3",0
16030375,,,勤務経験なし,,,,,,,43,3,38,3,"39,5",3,2,2,2,3,3,3,2,2,2,2,3,2,1,2,2,3,1,2,3,3,1,1,Z3,2,2,2,2,"2,5","2,5",0
16030378,大学,文系,勤務経験なし,,,,,,,40,3,53,4,46,4,3,4,4,3,3,3,3,4,5,4,4,5,4,3,6,5,4,4,3,4,1,1,X3,3,"4,5",4,"4,5",3,"3,5",0
16030381,大学,文系,勤務経験なし,,,,,,,64,6,56,5,61,5,3,2,3,5,5,1,1,1,1,2,4,1,3,4,2,3,1,2,5,5,1,1,Z3,3,2,2,1,1,0,0
16030382,,,勤務経験なし,,,,,,,44,3,36,2,39,3,3,3,3,2,2,5,5,4,3,3,2,3,2,1,4,2,4,2,2,1,1,1,W1,3,3,3,"3,5",5,"2,5",0
16030385,大学,文系,勤務経験なし,,,,,,,36,2,39,3,36,2,3,3,3,5,5,3,3,2,2,2,3,2,2,2,4,5,3,2,5,4,1,1,Y4,3,"2,5","2,5",2,3,0,0
16030386,大学,文系,勤務経験なし,,,,,,,41,3,45,3,42,3,3,3,3,5,4,1,1,2,1,3,5,1,1,1,2,1,1,1,5,5,1,1,Y4,3,2,3,"1,5",1,0,0
16030388,,,勤務経験なし,,,,,,,55,5,49,4,"52,5",4,3,4,4,2,3,3,2,3,5,5,5,5,5,4,6,6,3,4,2,5,1,1,Z2,3,"4,5","4,5",4,"2,5","3,3",0
