"ユーザID","学校種別(使用）","文理（使用）","アルバイト経験有無","アルバイト経験先","アルバイト店番","アルバイト店名","アルバイト社員番号","アルバイト開始年月","アルバイト期間","[SPI3U]言語(得点)","[SPI3U]言語(段階)","[SPI3U]非言語(得点)","[SPI3U]非言語(段階)","[SPI3U]基礎能力総合(得点)","[SPI3U]基礎能力総合(段階)","[SPI3U]Ａ対人接触","[SPI3U]Ｂ対人折衝","[SPI3U]Ｃ集団統率","[SPI3U]Ｄ協調協力","[SPI3U]Ｅサポート","[SPI3U]Ｆフットワーク","[SPI3U]Ｇスピーディー","[SPI3U]Ｈ予定外対応","[SPI3U]Ｉ自律遂行","[SPI3U]Ｊプレッシャー","[SPI3U]Ｋ着実持続","[SPI3U]Ｌ前例ない課題","[SPI3U]Ｍ企画アイデア","[SPI3U]Ｎ問題分析","[SPI3U]ダミー(1)","[SPI3U]ダミー(2)","[SPI3U]Ｗ創造重視","[SPI3U]Ｘ結果重視","[SPI3U]Ｙ調和重視","[SPI3U]Ｚ秩序重視","[SPI3U]応答態度Ａ","[SPI3U]ダミー","[SPI3Uフル]マネジメントスタイル座標","[SPI3U]内向-外向2","[SPI3U]調整-統率","[SPI3U]繊細-強靭","[SPI3U]維持‐変革","[SPI3U]活動系","[SPI3U]新卒R社員性格基準"
17002089,"大学","文系","勤務経験なし",,,,,,,64,6,52,4,59,5,4,3,4,3,3,3,3,3,3,3,3,3,4,5,4,5,3,3,3,4,1,1,"Z1",4,"3,5",3,3,3,"3,3"
17002098,"大学","文系","勤務経験なし",,,,,,,57,5,79,7,70,7,5,4,4,3,3,3,4,3,3,3,4,3,4,5,4,4,3,3,3,4,1,1,"Z1",5,"3,5","3,5",3,"3,5","3,5"
17002104,"大学","文系","勤務経験なし",,,,,,,45,3,74,7,"60,5",5,4,3,3,5,5,3,3,3,3,3,4,3,4,5,4,5,3,4,5,4,1,1,"Y2",4,3,3,3,3,"4,3"
17002139,"大学","文系","勤務経験なし",,,,,,,64,6,40,3,"52,5",4,1,2,2,3,4,3,3,3,5,3,5,3,4,4,5,5,2,3,3,5,1,1,"Z4",1,"3,5","2,5",3,3,"3,3"
17002140,"大学","文系","過去に勤務していました","B社",1456,"店名_809",,41671,"6カ月未満",59,5,43,3,51,4,4,3,3,3,4,3,3,3,2,3,3,3,3,3,3,2,3,1,4,3,1,1,"Y3",4,"2,5",3,3,3,0
17002143,"大学","文系","勤務経験なし",,,,,,,61,5,49,4,"55,5",5,4,4,4,4,4,3,3,3,4,3,3,3,4,4,5,5,4,4,4,3,1,1,"W4",4,4,"3,5",3,3,4
17002144,"大学","文系","勤務経験なし",,,,,,,65,6,79,7,"74,5",7,1,2,3,2,3,2,3,2,3,3,3,3,4,4,3,3,3,3,3,3,1,1,"Y2",1,3,"2,5","2,5","2,5","2,3"
17002197,"大学","文系","勤務経験なし",,,,,,,59,5,67,6,"64,5",6,5,5,5,3,3,4,4,4,5,5,3,5,5,5,6,5,4,5,3,3,1,1,"X1",5,5,5,"4,5",4,4
17002216,"大学","理系","勤務経験なし",,,,,,,47,4,70,7,"59,5",5,2,3,3,2,3,2,3,3,3,3,3,3,4,4,4,4,2,3,2,3,1,1,"X3",2,3,3,3,"2,5","2,5"
17002255,"大学","文系","現在、勤務しています","B社",1495,"店名_810",831615,42186,"6カ月未満",20,1,29,1,"21,5",1,3,3,3,3,4,3,4,3,3,4,3,3,1,1,2,2,3,1,3,3,1,1,"Y2",3,3,"3,5",3,"3,5","3,3"
17002260,"大学","文系","勤務経験なし",,,,,,,66,6,71,7,71,7,4,4,4,4,3,3,3,3,3,4,5,3,4,4,4,3,4,3,3,4,1,1,"Z1",4,"3,5",4,3,3,"3,5"
17002267,"大学","文系","勤務経験なし",,,,,,,64,6,59,5,63,6,3,4,4,4,4,3,3,3,3,3,4,4,5,5,6,5,2,4,5,3,1,1,"Y2",3,"3,5","3,5","3,5",3,"3,5"
